Name,Nick,Birth,Sex,Jobs,url,tags,status
이근상,이근택의동생,1874,남,친일귀족(남작),https://ko.wikipedia.org/wiki/%EC%9D%B4%EA%B7%BC%EC%83%81_(1874%EB%85%84),친일매국노:이근택,P
이장훈,이근상의아들,1917,남,친일귀족(남작),https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%9E%A5%ED%9B%88_(%EC%A1%B0%EC%84%A0%EA%B7%80%EC%A1%B1),친일매국노:이근택,P
이완용,을사오적,1858,남,친일귀족,https://ko.wikipedia.org/wiki/이완용,친일매국노:을사오적,P
이호준,이완용의양아버지,1821,남,조선의실력자,https://ko.wikipedia.org/wiki/이완용,이완용,P
이석준,이완용의친아버지,,남,민간인,https://ko.wikipedia.org/wiki/이완용,이완용,D
이승구,이완용의아들,1880,남,조기사망,https://ko.wikipedia.org/wiki/이완용,이완용,D
이항구,이완용의아들,1881,남,친일귀족(남작),https://ko.wikipedia.org/wiki/%EC%9D%B4%ED%95%AD%EA%B5%AC,친일매국노:이완용,P
이병길,이항구의아들,1905,남,친일귀족(후작),https://ko.wikipedia.org/wiki/%EC%9D%B4%EB%B3%91%EA%B8%B8,친일매국노:이완용,P
이병희,이항구의아들,,남,친일귀족,https://ko.wikipedia.org/wiki/이완용,친일매국노:이완용,D
이병주,이항구의아들,1913,남,친일귀족(남작),https://ko.wikipedia.org/wiki/이완용,친일매국노:이완용:일본귀화,P
이병철,이항구의아들,,남,친일귀족,https://ko.wikipedia.org/wiki/이완용,친일매국노:이완용,D
이병호,이항구의아들,,남,친일귀족,https://ko.wikipedia.org/wiki/이완용,친일매국노:이완용,D
이지용,을사오적,1870,남,친일귀족(백작),https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%A7%80%EC%9A%A9,친일매국노:을사오적,P
이해충,이지용의아들,1888,남,친일귀족,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%A7%80%EC%9A%A10,친일매국노:이지용,D
이문주,이지용의손자,1912,남,친일귀족,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%A7%80%EC%9A%A11,친일매국노:이지용,D
이경주,이지용의손자,1917,남,친일귀족,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%A7%80%EC%9A%A12,친일매국노:이지용,D
이영주,이지용의손자,1918,남,친일귀족(백작),https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%98%81%EC%A3%BC_(1918%EB%85%84),친일매국노:이지용,P
이홍주,이지용의손자,,남,친일귀족,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%A7%80%EC%9A%A14,친일매국노:이지용,D
이해문,이지용의아들,1903,남,친일귀족,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%A7%80%EC%9A%A15,친일매국노:이지용,D
이석주,이지용의손자,1937,남,민간인,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%A7%80%EC%9A%A16,친일매국노:이지용,D
이경자,이지용의손자,1941,남,친일귀족,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%A7%80%EC%9A%A17,친일매국노:이지용,D
이철주,이지용의손자,1946,남,친일귀족,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%A7%80%EC%9A%A18,친일매국노:이지용,D
